始発停留所	山島台四丁目-B	南四十万二丁目	南部車庫（車庫内）	山島台四丁目-B	南四十万二丁目	南部車庫（車庫内）	南部車庫（車庫内）	南四十万二丁目	南部車庫（車庫内）	南四十万二丁目	南部車庫（車庫内）	南部車庫（車庫内）	山島台四丁目-B	南四十万二丁目	山島台四丁目-B	南部車庫（車庫内）	南四十万二丁目	南部車庫（車庫内）	南部車庫（車庫内）	南四十万二丁目	南部車庫（車庫内）	南部車庫（車庫内）	南四十万二丁目	南部車庫（車庫内）	南部車庫（車庫内）	南四十万二丁目				
始発時間	07:33	08:07	08:13	08:38	09:14	09:43	10:13	10:48	11:13	11:43	12:13	12:43	13:08	13:47	14:08	14:43	15:17	15:48	16:18	16:47	17:23	18:00	18:42	19:18	20:05	20:52				
終点時間	08:38	09:03	09:13	09:43	10:15	10:48	11:18	11:49	12:18	12:44	13:18	13:48	14:18	14:48	15:18	15:48	16:18	16:53	17:23	17:48	18:28	19:05	19:43	20:18	21:05	21:48				
終点停留所	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A				
備考					ノンステップバス			ノンステップバス			ノンステップバス											ノンステップバス		ノンステップバス		ノンステップバス				
泉一丁目-B	08:02	08:27	08:37	09:07	09:34	10:07	10:37	11:08	11:37	12:03	12:37	13:07	13:37	14:07	14:37	15:07	15:37	16:12	16:42	17:07	17:47	18:24	19:02	19:42	20:29	21:12				
野町-B	08:03	08:28	08:38	09:08	09:35	10:08	10:38	11:09	11:38	12:04	12:38	13:08	13:38	14:08	14:38	15:08	15:38	16:13	16:43	17:08	17:48	18:25	19:03	19:43	20:30	21:13				
広小路（有松から）	08:04	08:29	08:39	09:09	09:36	10:09	10:39	11:10	11:39	12:05	12:39	13:09	13:39	14:09	14:39	15:09	15:39	16:14	16:44	17:09	17:49	18:26	19:04	19:44	20:31	21:14				
片町	08:07	08:32	08:42	09:12	09:39	10:12	10:42	11:13	11:42	12:08	12:42	13:12	13:42	14:12	14:42	15:12	15:42	16:17	16:47	17:12	17:52	18:29	19:07	19:47	20:34	21:17				
兼六園下（石川門向い）	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				
広坂（金沢２１世紀美術館前）	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				
香林坊（日銀前）	08:08	08:33	08:43	09:13	09:41	10:14	10:44	11:15	11:44	12:10	12:44	13:14	13:44	14:14	14:44	15:14	15:44	16:19	16:49	17:14	17:54	18:31	19:09	19:48	20:35	21:18				
南町-B	08:09	08:34	08:44	09:14	09:42	10:15	10:45	11:16	11:45	12:11	12:45	13:15	13:45	14:15	14:45	15:15	15:45	16:20	16:50	17:15	17:55	18:32	19:10	19:49	20:36	21:19				
武蔵ヶ辻（めいてつエムザ前）	08:11	08:36	08:46	09:16	09:44	10:17	10:47	11:18	11:47	12:13	12:47	13:17	13:47	14:17	14:47	15:17	15:47	16:22	16:52	17:17	17:57	18:34	19:12	19:51	20:38	21:21				
武蔵ヶ辻（ホリデイ・イン金沢前）	08:11	08:36	08:46	09:16	09:44	10:17	10:47	11:18	11:47	12:13	12:47	13:17	13:47	14:17	14:47	15:17	15:47	16:22	16:52	17:17	17:57	18:34	19:12	19:51	20:38	21:21				
