終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	映寿会みらい病院	金沢駅【降車場】	金沢駅【降車場】	県庁前-D	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】				
備考			ノンステップバス						ノンステップバス				ノンステップバス		ノンステップバス	ノンステップバス	ノンステップバス		ノンステップバス			ノンステップバス	ノンステップバス		ノンステップバス					ノンステップバス	ノンステップバス	ノンステップバス		ノンステップバス	ノンステップバス		ノンステップバス				学期休み期間、運休
ノンステップバス	学期休み期間のみ運行			学期休み期間、運休	学期休み期間のみ運行	ノンステップバス		ノンステップバス	ノンステップバス	ノンステップバス	学期休み期間、運休	学期休み期間のみ運行				ノンステップバス	学期休み期間、運休	学期休み期間のみ運行	ノンステップバス	ノンステップバス	ノンステップバス					ノンステップバス								
金沢学院大学（花里方向）																											11:15						12:45		13:15						14:45			15:15	15:30		15:45					16:35		16:45		17:15		17:45				18:30						20:15							
リファーレ前-B	06:46	06:56	07:06	07:16	07:26	07:36	07:41	-	07:55	08:05	-	08:20	08:30	08:40	08:55	09:05	09:20	09:35	09:50	10:05	10:20	10:35	10:50	11:05	11:20	11:35	11:52	12:05	12:20	12:35	12:52	13:07	13:22	13:35	13:52	14:07	14:22	14:37	14:52	15:07	15:22	15:22	15:37	15:52	16:07	16:07	16:22	16:32	16:42	16:52	17:02	17:12	17:12	17:22	17:37	17:52	18:05	18:16	18:20	18:35	18:46	19:01	19:16	19:31	19:46	20:05	20:25	20:45	21:05	21:25	21:55				
六枚町（金石方向）	-	-	-	-	-	-	-	07:51	-	-	08:13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				
広岡口（朱鷺の苑前）	-	-	-	-	-	-	-	07:53	-	-	08:15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				
金沢駅【降車場】	06:57	07:07	07:17	07:27	07:37	07:47	07:52	-	08:09	08:19	-	08:34	08:44	08:54	09:04	09:14	09:29	09:44	09:59	10:14	10:29	10:44	10:59	11:14	11:29	11:44	11:59	12:14	12:29	12:44	12:59	13:14	13:29	13:44	13:59	14:14	14:29	14:44	14:59	15:14	15:29	15:29	15:44	15:59	16:14	16:14	16:29	16:39	16:49	16:59	17:12	17:22	17:22	17:32	17:47	18:02	18:12	18:27	18:27	18:42	18:57	19:12	19:27	19:42	19:57	20:12	20:32	20:52	21:12	21:32	22:02				
金沢駅西口降車								07:56			08:18																																																																
金沢駅西口【６】								07:56			08:18																																																																
広岡-A								07:58			08:20																																																																
西念南-A								07:59			08:21																																																																
西念西-A								08:00			08:22																																																																
駅西合庁前（西念南から）								08:01			08:23																																																																
県庁前-D								-			08:37																																																																
県庁前-A								08:04																																																																			
中央病院前								08:06																																																																			
映寿会みらい病院								08:15																																																																			
