終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	小立野大学病院前（降車場）	映寿会みらい病院	金沢駅【降車場】	金沢駅【降車場】	県庁前-D	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】		
備考		ノンステップバス			ノンステップバス	ノンステップバス		ノンステップバス			ノンステップバス	ノンステップバス			ノンステップバス		ノンステップバス	ノンステップバス		ノンステップバス			ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス				ノンステップバス		ノンステップバス				ノンステップバス		ノンステップバス				ノンステップバス	ノンステップバス				ノンステップバス			ノンステップバス							ノンステップバス			ノンステップバス					
野町-B	-	-	07:06	-	-	-	-	07:48	-	08:03	-	-	-	-	-	-	-	-	-	10:13	-	-	-	11:10	-	-	12:10	-	13:11	-	-	-	14:10	-	-	15:10	-	16:06	-	-	-	-	-	-	17:05	-	-	-	-	18:05	-	-	-	-	19:16	-	-	20:06	-	-	21:06	-	-		
広小路（平和町から）	06:35	06:46	-	07:17	07:15	-	07:42	-	-	-	-	-	-	-	08:22	-	09:00	09:13	09:36	-	09:55	10:34	10:55	-	11:36	11:55	-	12:35	-	12:55	13:28	13:55	-	14:35	14:55	-	15:33	-	15:55	16:15	16:23	16:35	16:45	16:55	-	17:20	17:31	17:45	17:55	-	18:15	18:36	18:55	19:10	-	19:33	19:51	-	20:33	20:56	-	21:21	22:21		
広小路（有松から）	-	-	07:07	-	-	07:29	-	07:50	07:34	08:05	07:44	07:59	07:59	08:04	-	08:34	-	-	-	10:15	-	-	-	11:12	-	-	12:12	-	13:13	-	-	-	14:12	-	-	15:12	-	16:08	-	-	-	-	-	-	17:07	-	-	-	-	18:07	-	-	-	-	19:17	-	-	20:07	-	-	21:07	-	-		
片町	06:37	06:48	07:09	07:19	07:17	07:31	07:47	07:52	07:37	08:08	07:46	08:02	08:01	08:06	08:27	08:36	09:05	09:18	09:40	10:19	09:59	10:38	10:59	11:16	11:40	11:59	12:16	12:39	13:17	12:59	13:32	13:59	14:16	14:39	14:59	15:16	15:37	16:12	15:59	16:19	16:27	16:39	16:49	16:59	17:11	17:24	17:35	17:49	17:59	18:11	18:19	18:40	18:59	19:14	19:19	19:35	19:53	20:09	20:35	20:58	21:09	21:23	22:23		
香林坊（日銀前）	06:38	06:49	07:10	07:20	07:18	07:32	07:48	-	07:38	08:10	07:47	08:03	08:02	08:07	08:28	08:37	09:06	09:19	09:41	10:20	10:00	10:39	11:00	11:17	11:41	12:00	12:17	12:40	13:18	13:00	13:33	14:00	14:17	14:40	15:00	15:17	15:38	16:13	16:00	16:20	16:28	16:40	16:50	17:00	17:12	17:25	17:36	17:50	18:00	18:12	18:20	18:41	19:00	19:15	19:20	19:36	19:54	20:10	20:36	20:59	21:10	21:24	22:24		
香林坊（中央公園前）	-	-	-	-	-	-	-	07:54	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		
南町-B	06:39	06:50	07:11	07:21	07:19	07:34	07:50	-	07:40	08:13	07:49	08:05	08:04	08:09	08:30	08:39	09:08	09:21	09:43	10:22	10:02	10:41	11:02	11:19	11:43	12:02	12:19	12:42	13:20	13:02	13:35	14:02	14:19	14:42	15:02	15:19	15:40	16:15	16:02	16:22	16:30	16:42	16:52	17:02	17:14	17:27	17:38	17:52	18:02	18:14	18:22	18:43	19:02	19:17	19:21	19:37	19:55	20:11	20:37	21:00	21:11	21:25	22:25		
武蔵ヶ辻（めいてつエムザ前）	06:41	06:52	07:13	07:23	07:21	07:36	07:52	-	07:42	08:16	07:51	08:07	08:06	08:11	08:32	08:41	09:10	09:23	09:45	10:24	10:04	10:43	11:04	11:21	11:45	12:04	12:21	12:44	13:22	13:04	13:37	14:04	14:21	14:44	15:04	15:21	15:42	16:17	16:04	16:24	16:32	16:44	16:54	17:04	17:16	17:29	17:40	17:54	18:04	18:16	18:24	18:45	19:04	19:19	19:23	19:39	19:57	20:13	20:39	21:02	21:13	21:27	22:27		
武蔵ヶ辻（ホリデイ・イン金沢前）	-	-	-	-	-	-	-	-	07:42	-	-	08:07	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		
リファーレ前-B	06:43	06:54	07:15	07:25	07:23	-	07:55	-	-	08:21	-	-	-	-	08:35	-	09:13	09:26	09:47	10:26	10:06	10:45	11:06	11:23	11:47	12:06	12:23	12:46	13:24	13:06	13:39	14:06	14:23	14:46	15:06	15:23	15:44	16:19	16:06	16:26	16:34	16:46	16:56	17:06	17:18	17:31	17:42	17:56	18:06	18:18	18:26	18:47	19:06	19:21	19:25	19:41	19:59	20:15	20:41	21:04	21:15	21:29	22:29		
