終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】
備考					ノンステップバス																	ノンステップバス	ノンステップバス				ノンステップバス						ノンステップバス												
広小路（有松から）	-	07:07	-	-	08:03	-	-	-	09:08	-	-	10:11	-	-	10:57	-	-	-	12:12	-	-	-	-	14:09	-	-	15:07	-	-	16:09	-	-	-	17:12	-	-	18:12	-	-	19:07	-	-	20:17	-	-
片町	06:33	07:09	07:23	07:38	08:05	07:59	08:24	08:49	09:12	09:19	09:45	10:13	10:24	10:45	11:01	11:19	11:38	11:59	12:16	12:39	12:59	13:17	13:39	14:13	14:24	14:44	15:11	15:29	15:47	16:11	16:24	16:37	16:59	17:16	17:32	17:54	18:16	18:31	18:48	19:09	19:30	19:53	20:19	20:45	21:18
香林坊（日銀前）	06:34	07:10	07:24	07:39	08:06	08:00	08:25	08:50	09:13	09:20	09:46	10:14	10:25	10:46	11:02	11:20	11:39	12:00	12:17	12:40	13:00	13:18	13:40	14:14	14:25	14:45	15:12	15:30	15:48	16:12	16:25	16:38	17:00	17:17	17:33	17:55	18:17	18:32	18:49	19:10	19:31	19:54	20:20	20:46	21:19
香林坊（中央公園前）	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
南町-B	06:35	07:11	07:25	07:40	08:07	08:02	08:27	08:52	09:15	09:22	09:48	10:16	10:27	10:48	11:04	11:22	11:41	12:02	12:19	12:42	13:02	13:20	13:42	14:16	14:27	14:47	15:14	15:32	15:50	16:14	16:27	16:40	17:02	17:19	17:35	17:57	18:19	18:34	18:50	19:11	19:32	19:55	20:21	20:47	21:20
武蔵ヶ辻（めいてつエムザ前）	06:37	07:13	07:27	07:42	08:09	08:04	08:29	08:54	09:17	09:24	09:50	10:18	10:29	10:50	11:06	11:24	11:43	12:04	12:21	12:44	13:04	13:22	13:44	14:18	14:29	14:49	15:16	15:34	15:52	16:16	16:29	16:42	17:04	17:21	17:37	17:59	18:21	18:36	18:52	19:13	19:34	19:57	20:23	20:49	21:22
武蔵ヶ辻（ホリデイ・イン金沢前）	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
リファーレ前-B	06:39	07:15	07:29	07:44	08:11	08:06	08:31	08:56	09:19	09:26	09:52	10:20	10:31	10:52	11:08	11:26	11:45	12:06	12:23	12:46	13:06	13:24	13:46	14:20	14:31	14:51	15:18	15:36	15:54	16:18	16:31	16:44	17:06	17:23	17:39	18:01	18:23	18:38	18:54	19:15	19:36	19:59	20:25	20:51	21:24
金沢駅【降車場】	06:48	07:23	07:38	07:56	08:20	08:13	08:38	09:04	09:25	09:33	10:00	10:25	10:38	11:00	11:15	11:33	11:56	12:13	12:30	12:54	13:13	13:32	13:53	14:27	14:39	14:58	15:25	15:43	16:02	16:23	16:39	16:52	17:13	17:30	17:47	18:08	18:30	18:49	19:05	19:27	19:47	20:10	20:37	21:02	21:35
広坂（しいのき迎賓館前）																																													
