終点時間	07:41	08:11	08:26	08:33	08:16	09:08	08:44	09:25	09:35	09:50	10:11	10:45	10:48	10:58	11:15	11:45	12:05	12:26	12:45	13:00	13:08	13:50	14:00	14:15	14:30	14:56	15:15	15:35	15:53	16:08	16:09	16:41	17:00	17:15	17:30	17:51	18:15	18:20	18:23	18:51	19:05	19:22	19:35	19:53	20:15	20:45	20:55	21:06	21:45	21:46	22:20	22:14			
終点停留所	南四十万二丁目	南四十万二丁目	四十万-A	南四十万二丁目	如来寺前（旭町方向）	南部車庫-A	兼六園下（北鉄車庫前）	南部車庫-A	南部車庫-A	南部車庫-A	南四十万二丁目	南部車庫-A	四十万-A	四十万-A	南部車庫-A	南部車庫-A	南四十万二丁目	山島台四丁目-B	南部車庫-A	南部車庫-A	四十万-A	山島台四丁目-B	南部車庫-A	南部車庫-A	南部車庫-A	南四十万二丁目	南部車庫-A	山島台四丁目-B	四十万-A	四十万-A	兼六園下（北鉄車庫前）	南四十万二丁目	南部車庫-A	南部車庫-A	南部車庫-A	南四十万二丁目	山島台四丁目-B	南部車庫-A	四十万-A	南四十万二丁目	南部車庫-A	南部車庫-A	南部車庫-A	南四十万二丁目	南部車庫-A	山島台四丁目-B	南部車庫-A	四十万-A	山島台四丁目-B	南四十万二丁目	南部車庫-A	兼六園下（北鉄車庫前）			
備考		ノンステップバス			ノンステップバス		ノンステップバス	ノンステップバス			ノンステップバス				ノンステップバス				ノンステップバス	ノンステップバス									ノンステップバス							ノンステップバス			ノンステップバス			ノンステップバス					ノンステップバス								
寺地-A	07:18	07:44	08:02	08:06	-	08:37	-	08:54	09:07	09:22	09:47	10:17	10:27	10:37	10:47	11:17	11:41	11:53	12:17	12:32	12:47	13:17	13:32	13:47	14:02	14:32	14:47	15:02	15:32	15:47	-	16:17	16:32	16:47	17:02	17:27	17:42	17:52	18:02	18:24	18:34	18:51	19:04	19:26	19:44	20:12	20:27	20:45	21:10	21:23	21:53	-			
伏見台（郊外方向）	07:19	07:45	08:03	08:07	-	08:38	-	08:55	09:08	09:23	09:48	10:18	10:28	10:38	10:48	11:18	11:42	11:54	12:18	12:33	12:48	13:18	13:33	13:48	14:03	14:33	14:48	15:03	15:33	15:48	-	16:18	16:33	16:48	17:03	17:28	17:43	17:53	18:03	18:25	18:35	18:52	19:05	19:27	19:45	20:13	20:28	20:46	21:11	21:24	21:54	-			
錦丘高校前（四十万方向）	07:20	07:46	08:04	08:08	-	08:39	-	08:56	09:09	09:24	09:49	10:19	10:29	10:39	10:49	11:19	11:43	11:55	12:19	12:34	12:49	13:19	13:34	13:49	14:04	14:34	14:49	15:04	15:34	15:49	-	16:19	16:34	16:49	17:04	17:29	17:44	17:54	18:04	18:26	18:36	18:53	19:06	19:28	19:46	20:14	20:29	20:47	21:12	21:25	21:55	-			
三馬日赤病院前-A	07:21	07:47	08:05	08:09	-	08:40	-	08:57	09:10	09:25	09:50	10:20	10:30	10:40	10:50	11:20	11:44	11:56	12:20	12:35	12:50	13:20	13:35	13:50	14:05	14:35	14:50	15:05	15:35	15:50	-	16:20	16:35	16:50	17:05	17:30	17:45	17:55	18:05	18:27	18:37	18:54	19:07	19:29	19:47	20:15	20:30	20:48	21:13	21:26	21:56	-			
金沢工業大学（四十万方向）	07:23	07:49	08:07	08:11	-	08:42	-	08:59	09:12	09:27	09:52	10:22	10:32	10:42	10:52	11:22	11:46	11:58	12:22	12:37	12:52	13:22	13:37	13:52	14:07	14:37	14:52	15:07	15:37	15:52	-	16:22	16:37	16:52	17:07	17:32	17:47	17:57	18:07	18:29	18:39	18:56	19:09	19:31	19:49	20:17	20:32	20:50	21:14	21:28	21:58	-			
扇が丘-A	07:24	07:50	08:08	08:12	-	08:43	-	09:00	09:13	09:28	09:53	10:23	10:33	10:43	10:53	11:23	11:47	11:59	12:23	12:38	12:53	13:23	13:38	13:53	14:08	14:38	14:53	15:08	15:38	15:53	-	16:23	16:38	16:53	17:08	17:33	17:48	17:58	18:08	18:30	18:40	18:57	19:10	19:32	19:50	20:18	20:33	20:51	21:15	21:29	21:59	-			
扇台小学校前-A	07:25	07:51	08:09	08:13	-	08:44	-	09:01	09:14	09:29	09:54	10:24	10:34	10:44	10:54	11:24	11:48	12:00	12:24	12:39	12:54	13:24	13:39	13:54	14:09	14:39	14:54	15:09	15:39	15:54	-	16:24	16:39	16:54	17:09	17:34	17:49	17:59	18:09	18:31	18:41	18:58	19:11	19:33	19:51	20:19	20:34	20:52	21:16	21:30	22:00	-			
光が丘口（四十万方向）	07:27	07:53	08:11	08:15	-	08:46	-	09:03	09:16	09:31	09:56	10:26	10:36	10:46	10:56	11:26	11:50	12:02	12:26	12:41	12:56	13:26	13:41	13:56	14:11	14:41	14:56	15:11	15:41	15:56	-	16:26	16:41	16:56	17:11	17:36	17:51	18:01	18:11	18:33	18:43	19:00	19:13	19:35	19:53	20:21	20:36	20:54	21:17	21:32	22:02	-			
大額二丁目-A	07:28	07:54	08:12	08:16	-	08:47	-	09:04	09:17	09:32	09:57	10:27	10:37	10:47	10:57	11:27	11:51	12:03	12:27	12:42	12:57	13:27	13:42	13:57	14:12	14:42	14:57	15:12	15:42	15:57	-	16:27	16:42	16:57	17:12	17:37	17:52	18:02	18:12	18:34	18:44	19:01	19:14	19:36	19:54	20:22	20:37	20:55	21:18	21:33	22:03	-			
大額三丁目-A	07:29	07:55	08:13	08:17	-	08:48	-	09:05	09:18	09:33	09:58	10:28	10:38	10:48	10:58	11:28	11:52	12:04	12:28	12:43	12:58	13:28	13:43	13:58	14:13	14:43	14:58	15:13	15:43	15:58	-	16:28	16:43	16:58	17:13	17:38	17:53	18:03	18:13	18:35	18:45	19:02	19:15	19:37	19:55	20:23	20:38	20:56	21:19	21:34	22:04	-			
額中学校前-A	07:30	07:56	08:14	08:18	-	08:49	-	09:06	09:19	09:34	09:59	10:29	10:39	10:49	10:59	11:29	11:53	12:05	12:29	12:44	12:59	13:29	13:44	13:59	14:14	14:44	14:59	15:14	15:44	15:59	-	16:29	16:44	16:59	17:14	17:39	17:54	18:04	18:14	18:36	18:46	19:03	19:16	19:38	19:56	20:24	20:39	20:57	21:20	21:35	22:05	-			
しじま台-A	07:31	07:57	08:15	08:19	-	08:50	-	09:07	09:20	09:35	10:00	10:30	10:40	10:50	11:00	11:30	11:54	12:06	12:30	12:45	13:00	13:30	13:45	14:00	14:15	14:45	15:00	15:15	15:45	16:00	-	16:30	16:45	17:00	17:15	17:40	17:55	18:05	18:15	18:37	18:47	19:04	19:17	19:39	19:57	20:25	20:40	20:58	21:21	21:36	22:06	-			
四十万-A	07:32	07:58	08:26	08:20	-	08:51	-	09:08	09:21	09:36	10:01	10:31	10:48	10:58	11:01	11:31	11:55	12:07	12:31	12:46	13:08	13:31	13:46	14:01	14:16	14:46	15:01	15:16	15:53	16:08	-	16:31	16:46	17:01	17:16	17:41	17:56	18:06	18:23	18:38	18:48	19:05	19:18	19:40	19:58	20:26	20:41	21:06	21:22	21:37	22:07	-			
中四十万（南部車庫方向）	-	-		-	-	08:52	-	09:09	09:22	09:37	-	10:32			11:02	11:32	-	12:08	12:32	12:47		13:32	13:47	14:02	14:17	-	15:02	15:17			-	-	16:47	17:02	17:17	-	17:57	18:07		-	18:49	19:06	19:19	-	19:59	20:27	20:42		21:23	-	22:08	-			
中四十万（南四十万方向）	07:33	07:59		08:21	-	-	-	-	-	-	10:02	-			-	-	11:56	-	-	-		-	-	-	-	14:47	-	-			-	16:32	-	-	-	17:42	-	-		18:39	-	-	-	19:41	-	-	-		-	21:38	-	-			
南四十万-A	07:34	08:00		08:22	-	-	-	-	-	-	10:03	-			-	-	11:57	-	-	-		-	-	-	-	14:48	-	-			-	16:33	-	-	-	17:43	-	-		18:40	-	-	-	19:42	-	-	-		-	21:39	-	-			
南四十万二丁目	07:41	08:11		08:33	-	-	-	-	-	-	10:11	-			-	-	12:05	-	-	-		-	-	-	-	14:56	-	-			-	16:41	-	-	-	17:51	-	-		18:51	-	-	-	19:53	-	-	-		-	21:46	-	-			
加賀産新庄-A					-	08:54	-	09:11	09:24	09:39		10:34			11:04	11:34		12:10	12:34	12:49		13:34	13:49	14:04	14:19		15:04	15:19			-		16:49	17:04	17:19		17:59	18:09			18:51	19:08	19:21		20:01	20:29	20:44		21:25		22:10	-			
加賀産上林-A					-	08:56	-	09:13	09:26	09:41		10:36			11:06	11:36		12:12	12:36	12:51		13:36	13:51	14:06	14:21		15:06	15:21			-		16:51	17:06	17:21		18:01	18:11			18:53	19:10	19:23		20:03	20:31	20:46		21:27		22:12	-			
南部車庫-A					-	09:08	-	09:25	09:35	09:50		10:45			11:15	11:45		-	12:45	13:00		-	14:00	14:15	14:30		15:15	-			-		17:00	17:15	17:30		-	18:20			19:05	19:22	19:35		20:15	-	20:55		-		22:20	-			
南部車庫（加賀産郊外方向）					-		-											12:14				13:38						15:23			-						18:03									20:33			21:29			-			
加賀産みずほ台-A					-		-											12:15				13:39						15:24			-						18:04									20:34			21:30			-			
加賀産藤の木（辰口方向）					-		-											12:17				13:41						15:26			-						18:06									20:36			21:32			-			
山島台一丁目-B					-		-											12:19				13:43						15:28			-						18:08									20:38			21:34			-			
山島台四丁目-B					-		-											12:26				13:50						15:35			-						18:15									20:45			21:45			-			
広坂（しいのき迎賓館前）					08:00		08:30																								15:55																					22:09			
兼六園下（北鉄車庫前）					-		08:44																								16:09																					22:14			
兼六園下（県駐車場前）					08:02																																																		
出羽町-A					08:05																																																		
小立野-A					08:07																																																		
如来寺前（旭町方向）					08:16																																																		
彦三-A																																																							
瓢箪町-A																																																							
小橋町-A																																																							
森山二丁目（山の上方向）																																																							
山の上（鳴和方向）																																																							
春日町（山の上から）																																																							
桜丘高校前-A																																																							
鳴和台-C																																																							
御所町-A																																																							
星稜高校（駐車場内）																																																							
