終点停留所	東部車庫-A	東部車庫-A	東部車庫-A	辰巳丘高校-B	東部車庫-A	金沢学院大学-A	金沢学院大学-A	金沢学院大学-A	金沢学院大学-A	金沢学院大学-A	金沢学院大学-A	金沢学院大学-A	東部車庫-A	金沢学院大学-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	金沢学院大学-A	東部車庫-A	金沢学院大学-A	東部車庫-A	金沢学院大学-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	金沢学院大学-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	金沢学院大学-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A		
備考		ノンステップバス	学期休み期間のみ運行	学期休み期間、運休
ノンステップバス	ノンステップバス		ノンステップバス				ノンステップバス	ノンステップバス	学期休み期間のみ運行	学期休み期間、運休
ノンステップバス				ノンステップバス		ノンステップバス	ノンステップバス	ノンステップバス	学期休み期間のみ運行	学期休み期間、運休			ノンステップバス		ノンステップバス			ノンステップバス			ノンステップバス		ノンステップバス		ノンステップバス	ノンステップバス				ノンステップバス		ノンステップバス				ノンステップバス		ノンステップバス	ノンステップバス	ノンステップバス			ノンステップバス			ノンステップバス						ノンステップバス	ノンステップバス		ノンステップバス								ノンステップバス			
都雅野住宅-A	07:27	07:42	07:52	-	07:59	08:04	08:09	08:14	08:19	08:24	08:32	08:42	08:52	08:52	09:02	09:12	09:22	09:32	09:39	09:47	10:02	10:17	10:32	10:32	10:47	11:02	11:17	11:32	11:47	12:02	12:17	12:32	12:47	13:02	13:17	13:32	13:47	14:02	14:17	14:32	14:47	15:02	15:17	15:32	15:47	16:02	16:17	16:32	16:47	17:03	17:18	17:33	17:48	18:03	18:18	18:33	18:53	18:43	19:02	19:12	19:22	19:32	19:42	19:52	20:00	20:20	20:10	20:31	20:46	21:01	21:16	21:31	21:46	22:06	22:26	22:46	23:11	23:51		
東部車庫-A	07:37	07:52	08:02	-	08:07	08:05	08:10	08:15	08:20	08:25	08:33	08:43	09:00	08:53	09:10	09:20	09:30	09:40	09:47	09:48	10:10	10:18	10:40	10:33	10:55	11:10	11:25	11:40	11:55	12:10	12:25	12:40	12:48	13:10	13:25	13:40	13:55	14:10	14:25	14:33	14:55	15:10	15:25	15:40	15:55	16:10	16:25	16:40	16:55	17:15	17:30	17:45	18:00	18:15	18:30	18:45	19:03	18:55	19:10	19:20	19:30	19:40	19:50	20:00	20:10	20:29	20:20	20:39	20:54	21:09	21:24	21:39	21:54	22:14	22:34	22:54	23:19	23:59		
金沢東高校-A				-		-	-	-	-	-	-	-		-						-		-		-									-							-																																								
金沢東高校（学院方向）				-		08:06	08:11	08:16	08:21	08:26	08:34	08:44		08:54						09:49		10:19		10:34									12:49							14:34																																								
金沢学院大学-A				-		08:16	08:21	08:26	08:31	08:36	08:44	08:54		09:04						09:59		10:29		10:44									12:59							14:44																																								
笠舞三丁目-B				07:41																																																																												
天徳院前-A				07:43																																																																												
小立野三丁目-A				07:44																																																																												
崎浦公民館-A				07:45																																																																												
小立野一丁目-A				07:46																																																																												
錦町（湯涌）				07:47																																																																												
土清水口-A				07:49																																																																												
土清水-A				07:50																																																																												
土清水南-A				07:51																																																																												
舘山町-A				07:52																																																																												
辰巳丘高校-B				08:00																																																																												
